PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,n
-1.3844553,-0.7098428,-0.59307796,0.43002605,1.452206,-0.2966209,0.5215109,0.3670364,0.56919676,-0.72512954,126
-1.4730564,1.1975762,-0.45810613,-0.37646383,1.6639928,-0.03776949,-0.2104936,0.9089078,-0.36836395,0.2053082,127
-1.4597718,0.0017075492,-0.56783783,-1.387798,1.4908718,-0.3219622,-0.01586487,0.3252475,-0.21731198,-0.01974161,128
-1.531101,1.2253561,-0.37562868,-1.2063755,1.177648,-0.087736204,0.10330311,0.9616633,0.54883957,-0.03382441,129
-1.5247642,-0.21516035,-0.2846625,-1.4328988,0.85531694,0.15621798,-0.52017796,0.12823327,-0.27270833,0.19897632,130
-1.6041062,1.1014938,-0.17368011,-1.0018513,0.54286104,0.2124634,0.557761,-0.08046558,0.3505948,-0.77121085,131
-1.5776851,-0.33341065,-0.096922986,-1.2138106,0.23866446,0.27736637,-0.25838208,0.3779594,0.5157621,-0.06286458,132
-1.6722718,0.8927594,0.051162273,-0.77084583,0.0103664715,0.33881706,0.81521916,-0.38695648,0.65699804,-0.19127624,133
-1.6266747,-0.41384426,0.054084364,-0.93450546,-0.28006428,0.5880629,0.78734565,0.30716407,-0.22621477,-0.57016253,134
-1.7500883,0.79873896,0.20020604,-0.52594703,-0.3639763,0.45723215,0.43383634,0.42732728,0.022842037,-0.19465351,135
-1.7033907,-0.5153229,0.22922574,-0.6288042,-0.48421705,0.78504246,-0.09006729,0.32780707,0.011608581,0.36787754,136
-1.8109033,0.7598427,0.41228032,-0.37198588,-0.4807796,1.2072774,0.2795418,0.1675226,0.5180535,0.19458197,137
-1.7872295,-0.63131785,0.41864675,-0.37681407,-0.5458317,0.64307916,0.10787351,0.123678125,0.1362525,0.36652672,138
-1.8603103,0.59063625,0.2976562,0.060469612,-0.6800434,0.3790835,1.0037394,-0.19802701,0.0035102034,-0.1273804,139
-1.8072315,-0.6195278,0.1321421,0.11768023,-0.32758075,0.21224009,0.78773594,-0.102955304,0.054739863,-0.81337893,140
-1.9024361,0.32980078,0.21217261,0.51862097,-0.43381032,0.14963956,0.75038797,0.19346756,-0.39284408,-0.05413646,141
-1.8999366,-0.6969185,0.07526606,0.458202,-0.1530864,0.009066548,0.79235727,0.7591728,0.43490422,0.18187854,142
-1.9695908,0.42301333,0.21740592,0.7985237,-0.22474688,-0.08648557,0.27043185,-0.74447244,-0.17258066,0.73062277,143
-1.9556533,-0.63626105,0.17373845,0.5197223,0.082861125,-0.31809834,0.54922503,1.1303508,0.54437894,0.22633128,144
-2.018626,0.3690415,0.20874181,0.7008157,0.20204206,-0.34878126,0.17269623,-0.5110401,-0.22949767,-0.092334695,145
-2.024475,-0.6141172,0.21433894,0.42896006,0.37074593,-0.5388696,0.3907503,-0.08299913,-0.40581468,-0.66333866,146
-2.1150987,0.4078199,0.42937008,0.4169567,0.05079222,-0.094713755,0.0010494115,-0.34738377,-0.16726916,0.4410462,147
-2.0889,-0.66400826,0.2732111,0.35696983,-0.11313205,0.014056236,0.09580351,0.24564013,0.32508838,-0.053142373,148
-2.1404002,0.31893933,0.3057362,0.5391233,-0.009582309,0.2097484,0.26751384,-0.02964303,-0.20669858,0.4725993,149
-2.138167,-0.65998995,0.50565094,0.26193604,-0.12586394,0.67846465,-0.13399863,0.34272957,-0.2606208,0.26692727,150
-2.205801,0.29591992,0.48232672,0.35958415,-0.10873451,0.5086827,0.059843425,0.38532147,0.7525192,0.061168462,151
-2.215338,-0.71746105,0.45877326,0.12633407,-0.22368973,0.1163232,-0.47003853,-0.4319821,0.055816393,0.115493104,152
-2.2925181,0.47865945,0.4851887,0.22182374,0.20142889,-0.2720826,-0.17337592,0.46806797,-0.02914843,-0.38674778,153
-2.274254,-0.55556446,0.4403849,-0.12642767,0.396682,0.0017989578,0.5111184,0.35384208,0.20132977,0.20825772,154
-2.3515017,0.45775637,0.54099596,0.100368135,0.22607745,-0.0008089611,0.23717697,0.6089291,-0.4303858,0.15764073,155
-2.325501,-0.5195981,0.5747986,-0.16009232,0.21092811,-0.23990689,-0.14640321,0.2068586,-0.1811233,0.12610872,156
-2.396887,0.5027881,0.5584578,0.07551453,0.14044122,0.061883703,0.27256647,-0.0805474,-0.32294774,-0.28866455,157
-2.4013283,-0.6572983,0.5973847,-0.09234518,0.3891637,0.022578113,-0.3169076,-0.07800312,0.098248355,0.3657997,158
-2.4765441,0.4056386,0.71798277,0.18855189,-0.14862959,-0.23504527,-0.32380888,-0.15262747,-0.8808457,0.25925046,159
-2.483383,-0.6292027,0.8084582,0.16724052,0.21431145,-0.51016355,-0.079074964,-0.6224953,0.37709856,-0.19068934,160
-2.5635443,0.089633524,0.90027106,0.229964,0.045986645,0.40340504,-0.08974389,-0.089416094,0.21172617,0.59638524,161
-2.5458398,-0.9913058,0.89386356,-0.0029438173,0.3463953,0.2529183,-0.14767624,-0.054871358,0.4380044,-0.13462313,162
-2.642863,0.5676666,0.90779763,-0.16513754,0.53713787,-0.19589874,-0.51314986,-0.22658722,-0.054023206,-0.19268276,163
-2.6191926,-0.528411,0.8776848,-0.5910171,0.124991335,-0.33065268,-0.45886555,0.21608636,-0.10765091,-0.67205083,164
-2.6940405,0.56864387,0.87580824,-0.33752656,0.43561593,-0.3874228,-0.82412654,0.4844012,-0.15519112,-0.00934104,165
-2.6785083,-0.4431751,0.99432147,-0.6242349,0.3141426,0.10844618,0.41401094,-0.16340847,-0.70343053,-0.025854059,166
-2.7464473,0.5032072,1.1078578,-0.19805735,0.19514999,-0.40032765,0.25176373,0.28155997,0.2782923,-0.21624205,167
-2.7436209,-0.54062486,1.1395223,-0.20871004,0.13368379,-0.3666966,-0.36349115,0.1690028,0.016359076,0.343458,168
-2.7837431,0.59500265,1.1767542,-0.14003332,-0.12734312,0.12625374,0.17418239,0.14357089,0.3137831,-0.36519778,169
-2.8055751,-0.71821916,1.2365569,-0.116656,-0.04804638,-0.16603781,-0.19194557,-0.49874207,0.3082463,0.20365934,170
-2.8605936,0.46676564,1.2046959,0.15970944,-0.17304936,-0.1176522,0.16232371,0.16813493,-0.17020303,0.26270115,171
-2.8411791,-0.8145595,1.1759932,0.091634326,-0.0705155,-0.049713157,-0.10490538,0.2962319,-0.71129614,0.2778182,172
-2.9156559,0.40991026,1.2498534,0.3313049,-0.058204003,-0.008133502,-0.17458428,0.5801108,-0.22344512,0.6586555,173
-2.9015512,-0.7849634,1.2335497,0.071816325,0.0170821,-0.28723112,0.29494822,-0.27585155,-0.42884618,-0.6341695,174
-2.9596508,0.4012205,1.2622129,0.527184,-0.045621093,-0.3198409,-0.08994193,0.34714234,-0.30440724,0.024804788,175
-2.9595733,-0.7972472,1.4287786,0.012495029,0.20183614,-0.26238012,-0.21675934,0.05102251,0.36213735,-0.04736971,176
-3.0616262,0.2946212,1.5405302,0.27965015,0.020711942,0.09304243,-0.547547,0.04147113,0.16382824,0.44674283,177
-2.9109035,-0.26368535,0.933573,0.22852093,0.57939774,0.03364464,-0.3666402,0.18978666,-0.4828462,0.49334994,178
