PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,zn,z,n
5.5347705,1.2079767,0.79448795,1.3346213,0.79756635,-0.9863978,0.010549237,0.022284927,0.7579185,-0.08773092,16-18,16,18
5.3546057,1.1303068,-1.1342796,1.5116947,0.18420513,-0.6549129,0.11543164,-0.05779192,0.8337633,-0.119258925,16-19,16,19
5.3694773,1.2039578,1.1110516,1.2161485,0.41802466,-0.6863368,0.091282055,-0.022054402,0.92581564,-0.15787618,16-20,16,20
5.1877666,1.1132331,-1.3450791,1.363149,-0.016040463,-0.57216096,0.2900818,0.028458199,0.7412149,0.115110256,16-21,16,21
5.2354465,1.2004246,0.96161133,1.2247417,0.31042936,-0.55184126,0.3265997,-0.11530269,0.7556124,0.054064333,16-22,16,22
5.0571356,1.121546,-1.0746866,1.3090831,-0.31153423,-0.25617683,0.18181163,-0.19315185,0.7670328,-0.32519436,16-23,16,23
5.1136894,1.188269,1.1952882,0.9611883,-0.13431193,-0.25251824,0.04303792,-0.030440902,0.73958945,-0.3229373,16-24,16,24
4.96876,1.1097248,-0.81432736,1.1337911,-0.94778866,0.15723853,0.30548194,0.05732929,0.55899525,-0.20604269,16-25,16,25
4.992971,1.1726586,1.2135044,0.8469828,-0.4564189,-0.05937606,0.27764738,0.15907699,0.43000975,-0.05254215,16-26,16,26
4.8509474,1.1141069,-0.7379795,0.8821998,-1.1625175,0.34010065,0.4831898,0.29008466,0.30427882,0.057032783,16-27,16,27
4.8909717,1.1798506,1.5565833,0.6004674,-0.9310555,0.2789262,0.60186356,0.33205616,0.07857374,0.31731877,16-28,16,28
4.699466,1.0892024,-0.7316787,0.7265918,-1.0080708,0.31969273,0.88072276,0.40060946,0.17351367,0.7232314,16-29,16,29
4.708674,1.140694,0.7777257,0.61721164,-0.074287765,-0.19028181,1.0344791,0.27189898,0.07557771,1.1410385,16-30,16,30
4.5750804,1.1438891,0.8107853,0.55280524,0.18497567,-0.3454419,0.6593396,-0.022976719,0.16231105,0.4910229,16-32,16,32
5.9827704,-0.7227896,1.7748545,1.8576044,-0.44750327,-0.57788056,-0.12813829,0.18365556,1.026701,-0.5406384,17-12,17,12
5.7801194,-0.8273838,-0.65557677,1.8297516,-1.2525109,-0.14175825,0.13219893,0.2336522,0.6811669,-0.260071,17-13,17,13
5.7839985,-0.742859,1.9377471,1.4947063,-0.75254756,-0.24909598,0.46701628,0.40174925,0.68815494,0.15330473,17-14,17,14
5.5538034,-0.82854563,-0.45753154,1.6229312,-1.1690239,-0.08473172,0.60760486,0.47510704,0.5958396,0.351044,17-15,17,15
5.5408072,-0.7804705,1.1068714,1.3595744,-0.08445497,-0.6094835,0.48337585,0.2003391,0.73184437,0.280249,17-16,17,16
5.351129,-0.871286,-1.1343921,1.4443967,0.06818715,-0.762365,0.25794977,0.25134087,0.81250525,0.060942233,17-17,17,17
5.3713346,-0.79278904,0.83536565,1.3006811,0.7934701,-1.1724029,0.003790108,0.1345837,0.7899291,-0.09998317,17-18,17,18
5.191169,-0.8704585,-1.0934019,1.4777542,0.18010893,-0.84091777,0.108672455,0.05450683,0.8657741,-0.13151127,17-19,17,19
5.2060413,-0.7968076,1.1519291,1.1822083,0.41392845,-0.8723418,0.084522806,0.09024434,0.95782644,-0.17012842,17-20,17,20
5.0243306,-0.8875322,-1.3042015,1.3292087,-0.020136626,-0.758166,0.28332257,0.1407569,0.77322584,0.10285793,17-21,17,21
5.0720105,-0.8003407,1.0024884,1.1908014,0.30633327,-0.7378461,0.31984052,-0.0030039132,0.78762317,0.04181196,17-22,17,22
4.8936987,-0.87921923,-1.0338088,1.2751429,-0.3156303,-0.44218165,0.1750524,-0.080853134,0.7990435,-0.33744672,17-23,17,23
4.950253,-0.81249636,1.2361659,0.92724806,-0.13840805,-0.438523,0.036278673,0.08185784,0.77159995,-0.33518976,17-24,17,24
4.8053236,-0.8910409,-0.77344966,1.0998507,-0.95188457,-0.028766338,0.29872277,0.16962804,0.5910059,-0.218295,17-25,17,25
4.8295345,-0.8281068,1.2543819,0.81304246,-0.46051508,-0.2453809,0.27088815,0.27137572,0.46202046,-0.06479451,17-26,17,26
4.6875105,-0.88665843,-0.6971017,0.8482595,-1.1666137,0.15409578,0.47643048,0.40238336,0.33628947,0.0447804,17-27,17,27
4.7275357,-0.82091486,1.597461,0.5665273,-0.9351516,0.09292125,0.59510434,0.44435486,0.1105845,0.3050665,17-28,17,28
4.53603,-0.9115628,-0.6908011,0.6926513,-1.0121667,0.13368775,0.87396383,0.5129083,0.20552438,0.71097904,17-29,17,29
4.5452366,-0.86007136,0.8186037,0.5832713,-0.07838392,-0.37628654,1.0277197,0.38419762,0.10758852,1.1287857,17-30,17,30
4.4012523,-0.93617415,-0.83597726,0.62123466,-0.48747382,-0.21483415,0.8913231,0.31036398,0.09695632,0.8152574,17-31,17,31
4.411644,-0.8568763,0.85166276,0.5188649,0.1808795,-0.5314469,0.65258026,0.08932203,0.19432187,0.4787705,17-32,17,32
4.296274,-0.929938,-1.0832751,0.6120902,-0.060915936,-0.45981959,0.5342524,0.180847,0.258128,0.40673873,17-33,17,33
4.3064737,-0.882942,0.6095139,0.45367897,0.90539074,-0.9372359,0.41480783,0.0696859,0.35653055,0.28799736,17-34,17,34
4.193215,-0.9494508,-1.330536,0.65416557,0.25918934,-0.69502735,0.19897345,-0.1552636,0.2747005,-0.111900136,17-35,17,35
5.894705,1.272401,1.7078341,1.8665189,-0.37644228,-0.47782305,0.08558822,-0.08477487,0.66526806,-0.60267156,18-12,18,12
5.6920533,1.1678067,-0.7225976,1.8386667,-1.18145,-0.041700456,0.34592557,-0.03477821,0.31973404,-0.3221041,18-13,18,13
5.6959333,1.2523313,1.8707263,1.5036216,-0.6814864,-0.14903824,0.68074304,0.13331875,0.32672235,0.091271535,18-14,18,14
5.4657373,1.1666452,-0.5245522,1.6318452,-1.0979629,0.015326027,0.8213316,0.2066765,0.23440684,0.28901076,18-15,18,15
5.452741,1.2147204,1.0398506,1.3684888,-0.013393967,-0.5094257,0.6971025,-0.0680913,0.37041155,0.21821587,18-16,18,16
5.2630634,1.1239046,-1.2014126,1.4533111,0.13924813,-0.66230726,0.4716764,-0.017089576,0.4510725,-0.0010910402,18-17,18,17
5.283269,1.2024019,0.7683449,1.3095958,0.8645312,-1.0723451,0.21751676,-0.1338467,0.4284964,-0.16201629,18-18,18,18
5.103104,1.1247323,-1.1604227,1.486669,0.25117,-0.74086,0.3223991,-0.21392362,0.5043413,-0.19354445,18-19,18,19
5.117975,1.1983831,1.0849084,1.1911228,0.48498943,-0.772284,0.29824954,-0.17818607,0.5963937,-0.23216172,18-20,18,20
4.9362645,1.107658,-1.3712219,1.3381233,0.050924405,-0.658108,0.49704924,-0.12767346,0.41179302,0.040824644,18-21,18,21
4.983945,1.1948496,0.93546796,1.199716,0.3773942,-0.6377885,0.5335671,-0.27143437,0.4261904,-0.020221164,18-22,18,22
